R2 p
ENSG00000090006 0.342267601446099 1.56877218930873e-05
ENSG00000124613 0.34225441103079 1.56950727117078e-05
ENSG00000105825 0.342210873976594 1.57193587657645e-05
ENSG00000130513 0.341402800344544 1.61767364235121e-05
ENSG00000175040 0.341175988086699 1.63073971426453e-05
ENSG00000117016 0.3409024879325 1.64663034454282e-05
ENSG00000139410 0.340473261923237 1.67186939634689e-05
ENSG00000051596 0.339639339211065 1.7219726875517e-05
ENSG00000076706 0.339337893900747 1.74043678669022e-05
ENSG00000124588 0.339269672049437 1.74464184623524e-05
ENSG00000142207 0.339058254935451 1.75773532036239e-05
ENSG00000177570 0.338812941250295 1.77304652102528e-05
ENSG00000130818 0.338743965294394 1.77737468938233e-05
ENSG00000122863 0.338264269232174 1.80775737761429e-05
ENSG00000141198 0.338180495225584 1.81311437748022e-05
ENSG00000173156 0.337851126308621 1.83432453129129e-05
ENSG00000143344 0.337481706983765 1.85839767872231e-05
ENSG00000165475 0.337214042320804 1.8760295154685e-05
ENSG00000168421 0.336749724829579 1.9069977076569e-05
ENSG00000066056 0.336384715982476 1.93168695348245e-05
ENSG00000171840 0.336120089400487 1.94977824719e-05
ENSG00000120896 0.336015353044404 1.95698350289319e-05
ENSG00000123360 0.335874534053756 1.96671140595406e-05
ENSG00000205464 0.335871887073777 1.96689470626232e-05
ENSG00000104611 0.335676015658447 1.98050426414298e-05
ENSG00000179403 0.335391045335734 2.00046644913687e-05
ENSG00000197629 0.334655605749699 2.05288220722633e-05
ENSG00000112796 0.334063300611004 2.09605443595162e-05
ENSG00000152932 0.33392850580136 2.10600070262856e-05
ENSG00000107719 0.333583302563906 2.13168005385178e-05
ENSG00000198846 0.333551260040946 2.13407888376427e-05
ENSG00000021355 0.333452057330667 2.14152206470253e-05
ENSG00000168268 0.333285951428514 2.15404093339977e-05
ENSG00000112902 0.333284292194682 2.15416633888577e-05
ENSG00000176658 0.332904664410631 2.18304410770642e-05
ENSG00000176531 0.33251026526513 2.21343974651234e-05
ENSG00000133048 0.33248243648581 2.21559976694152e-05
ENSG00000134072 0.332401995166782 2.22185488607529e-05
ENSG00000169403 0.332210160840555 2.23684055979945e-05
ENSG00000169116 0.331433097838097 2.29854358588799e-05
ENSG00000065600 0.331389429772097 2.30205922133742e-05
ENSG00000141295 0.331175215830559 2.31938024515266e-05
ENSG00000181481 0.331032219216237 2.33101244146994e-05
ENSG00000185420 0.33038073673962 2.38472191318451e-05
ENSG00000198331 0.33030149329021 2.39133553132653e-05
ENSG00000171246 0.330183591696612 2.40120820333978e-05
ENSG00000108370 0.330182250356733 2.40132074778021e-05
ENSG00000143674 0.330172749694949 2.40211804110047e-05
ENSG00000160447 0.329747467270598 2.43806964137505e-05
ENSG00000117013 0.3295211521653 2.45741181865711e-05
ENSG00000099337 0.329288107774362 2.47748334887277e-05
ENSG00000183850 0.328669844632106 2.53149995419477e-05
ENSG00000197568 0.328648293251329 2.53340314921857e-05
ENSG00000100342 0.3286063048834 2.53711508166887e-05
ENSG00000100228 0.328474741745741 2.54877967837963e-05
ENSG00000101161 0.328389459932931 2.55636844168627e-05
ENSG00000132481 0.328337073164748 2.56104082676512e-05
ENSG00000125869 0.32833575954629 2.5611580941387e-05
ENSG00000134709 0.328124565397053 2.58007883067179e-05
ENSG00000008405 0.327779944621914 2.6112422423008e-05
ENSG00000158623 0.327631481489761 2.62477880383916e-05
ENSG00000109674 0.327595629017945 2.62805786399589e-05
ENSG00000110328 0.327580497035324 2.62944301461232e-05
ENSG00000177096 0.32731335213534 2.65401287564693e-05
ENSG00000198865 0.326859047760911 2.69630421683154e-05
ENSG00000106868 0.326717577559741 2.70960558415023e-05
ENSG00000172575 0.326620558751712 2.71876399347004e-05
ENSG00000050393 0.326081952295972 2.77015163483441e-05
ENSG00000170190 0.325994227621187 2.77860932160756e-05
ENSG00000171130 0.325905075871909 2.78723004660808e-05
ENSG00000177675 0.325599571437641 2.81696708421819e-05
ENSG00000074657 0.32539422178636 2.83712660058555e-05
ENSG00000162244 0.325320654142001 2.8443825742297e-05
ENSG00000198369 0.324620321108748 2.91435634796056e-05
ENSG00000168916 0.324351863585118 2.9416159835316e-05
ENSG00000122778 0.324336158553553 2.94321827201127e-05
ENSG00000108239 0.324182160034989 2.95897435491632e-05
ENSG00000135046 0.324099345618625 2.96748088866039e-05
ENSG00000140931 0.324071107686479 2.97038680929784e-05
ENSG00000124587 0.32386001804588 2.99219661270556e-05
ENSG00000168779 0.323782259691629 3.000269381781e-05
ENSG00000159228 0.323752646891548 3.00334925018575e-05
ENSG00000196422 0.323681982906215 3.01071092794203e-05
ENSG00000150637 0.323341677336405 3.04640732811112e-05
ENSG00000102445 0.323099704084872 3.07203651068733e-05
ENSG00000084207 0.322950049139697 3.08799128116988e-05
ENSG00000150938 0.322876172773931 3.09589663394227e-05
ENSG00000182362 0.322493439890809 3.13716485078608e-05
ENSG00000149289 0.321829971711428 3.20996069009816e-05
ENSG00000105699 0.321763917588216 3.21729648675717e-05
ENSG00000132793 0.321631877657015 3.2320088790172e-05
ENSG00000080823 0.321459107004721 3.25135744809746e-05
ENSG00000155307 0.32097639350794 3.30600908595713e-05
ENSG00000174946 0.320925336873641 3.31184101907134e-05
